County,Adjusted Gross Income,Number of Returns,Total Salaries & Wages
"Colbert County, AL","25,000 - $49,999",5770.0,156929.0
"Colbert County, AL","50,000 - $74,999",3240.0,147831.0
"Colbert County, AL","75,000 - $99,999",2050.0,130712.0
"Colbert County, AL","100,000 - $199,999",2170.0,207679.0
"Colbert County, AL","$200,000 or more",420.0,79599.0
"Conecuh County, AL",Under $1,100.0,342.0
"Conecuh County, AL","1 - $9,999",810.0,3704.0
"Conecuh County, AL","10,000 - $24,999",1640.0,22156.0
"Conecuh County, AL","25,000 - $49,999",1260.0,36588.0
"Conecuh County, AL","50,000 - $74,999",540.0,26425.0
"Conecuh County, AL","75,000 - $99,999",280.0,17679.0
"Conecuh County, AL","100,000 - $199,999",250.0,22156.0
"Conecuh County, AL","$200,000 or more",30.0,4758.0
"Coosa County, AL",Under $1,50.0,0.0
"Coosa County, AL","1 - $9,999",550.0,2341.0
"Coosa County, AL","10,000 - $24,999",1130.0,15737.0
"Coosa County, AL","25,000 - $49,999",1170.0,34763.0
"Coosa County, AL","50,000 - $74,999",540.0,25451.0
"Coosa County, AL","75,000 - $99,999",290.0,18428.0
"Coosa County, AL","100,000 - $199,999",240.0,20352.0
"Coosa County, AL","$200,000 or more",30.0,5973.0
"Covington County, AL",Under $1,250.0,1183.0
"Covington County, AL","1 - $9,999",2400.0,10131.0
"Covington County, AL","10,000 - $24,999",4340.0,58101.0
"Covington County, AL","25,000 - $49,999",3630.0,102524.0
"Covington County, AL","50,000 - $74,999",1810.0,82527.0
"Covington County, AL","75,000 - $99,999",1090.0,70841.0
"Covington County, AL","100,000 - $199,999",1180.0,117337.0
"Covington County, AL","$200,000 or more",310.0,60373.0
"Crenshaw County, AL",Under $1,80.0,0.0
"Crenshaw County, AL","1 - $9,999",840.0,3912.0
"Crenshaw County, AL","10,000 - $24,999",1670.0,23271.0
"Crenshaw County, AL","25,000 - $49,999",1650.0,50006.0
"Crenshaw County, AL","50,000 - $74,999",690.0,34187.0
"Crenshaw County, AL","75,000 - $99,999",410.0,27636.0
"Crenshaw County, AL","100,000 - $199,999",340.0,33005.0
"Crenshaw County, AL","$200,000 or more",80.0,10558.0
"Cullman County, AL",Under $1,520.0,1783.0
"Cullman County, AL","1 - $9,999",5120.0,20209.0
"Cullman County, AL","10,000 - $24,999",8170.0,103959.0
"Cullman County, AL","25,000 - $49,999",8840.0,263421.0
"Cullman County, AL","50,000 - $74,999",4620.0,224832.0
"Cullman County, AL","75,000 - $99,999",2790.0,193729.0
"Cullman County, AL","100,000 - $199,999",2640.0,256462.0
"Cullman County, AL","$200,000 or more",560.0,102888.0
"Dale County, AL",Under $1,270.0,1489.0
"Dale County, AL","1 - $9,999",2920.0,13331.0
"Dale County, AL","10,000 - $24,999",5540.0,74821.0
"Dale County, AL","25,000 - $49,999",5170.0,151239.0
"Dale County, AL","50,000 - $74,999",2700.0,129857.0
"Dale County, AL","75,000 - $99,999",1680.0,112019.0
"Dale County, AL","100,000 - $199,999",1620.0,149947.0
"Dale County, AL","$200,000 or more",180.0,26323.0
"Dallas County, AL",Under $1,180.0,469.0
"Dallas County, AL","1 - $9,999",2450.0,12114.0
"Dallas County, AL","10,000 - $24,999",6540.0,95847.0
"Dallas County, AL","25,000 - $49,999",3980.0,121386.0
"Dallas County, AL","50,000 - $74,999",1590.0,75486.0
"Dallas County, AL","75,000 - $99,999",750.0,46274.0
"Dallas County, AL","100,000 - $199,999",820.0,70836.0
"Dallas County, AL","$200,000 or more",190.0,28156.0
"DeKalb County, AL",Under $1,460.0,2085.0
"DeKalb County, AL","1 - $9,999",4340.0,17402.0
"DeKalb County, AL","10,000 - $24,999",8320.0,115777.0
"DeKalb County, AL","25,000 - $49,999",7150.0,217239.0
"DeKalb County, AL","50,000 - $74,999",3230.0,163623.0
"DeKalb County, AL","75,000 - $99,999",1660.0,113504.0
"DeKalb County, AL","100,000 - $199,999",1390.0,129863.0
"DeKalb County, AL","$200,000 or more",270.0,46530.0
"Elmore County, AL",Under $1,350.0,2457.0
"Elmore County, AL","1 - $9,999",4450.0,18791.0
"Elmore County, AL","10,000 - $24,999",8120.0,109884.0
"Elmore County, AL","25,000 - $49,999",8410.0,249558.0
"Elmore County, AL","50,000 - $74,999",5140.0,243711.0
"Elmore County, AL","75,000 - $99,999",3580.0,227490.0
"Elmore County, AL","100,000 - $199,999",4100.0,385459.0
"Elmore County, AL","$200,000 or more",610.0,99231.0
"Escambia County, AL",Under $1,170.0,756.0
"Escambia County, AL","1 - $9,999",2190.0,9565.0
"Escambia County, AL","10,000 - $24,999",4230.0,55805.0
"Escambia County, AL","25,000 - $49,999",3710.0,106543.0
"Escambia County, AL","50,000 - $74,999",1760.0,81129.0
"Escambia County, AL","75,000 - $99,999",1080.0,67844.0
"Escambia County, AL","100,000 - $199,999",1000.0,89945.0
"Escambia County, AL","$200,000 or more",220.0,28443.0
"Etowah County, AL",Under $1,470.0,2194.0
"Etowah County, AL","1 - $9,999",6660.0,27537.0
"Etowah County, AL","10,000 - $24,999",12320.0,156429.0
"Etowah County, AL","25,000 - $49,999",10170.0,286403.0
"Etowah County, AL","50,000 - $74,999",5320.0,254481.0
"Etowah County, AL","75,000 - $99,999",3250.0,212852.0
"Etowah County, AL","100,000 - $199,999",2880.0,275768.0
"Etowah County, AL","$200,000 or more",640.0,126677.0
"Fayette County, AL",Under $1,90.0,0.0
"Fayette County, AL","1 - $9,999",960.0,4406.0
"Fayette County, AL","10,000 - $24,999",1700.0,20962.0
"Fayette County, AL","25,000 - $49,999",1620.0,47265.0
"Fayette County, AL","50,000 - $74,999",830.0,41496.0
"Fayette County, AL","75,000 - $99,999",540.0,37075.0
"Fayette County, AL","100,000 - $199,999",450.0,44814.0
"Fayette County, AL","$200,000 or more",60.0,8692.0
"Franklin County, AL",Under $1,180.0,1160.0
"Franklin County, AL","1 - $9,999",1820.0,7549.0
"Franklin County, AL","10,000 - $24,999",3730.0,52388.0
"Franklin County, AL","25,000 - $49,999",3520.0,105913.0
"Franklin County, AL","50,000 - $74,999",1480.0,71377.0
"Franklin County, AL","75,000 - $99,999",780.0,53279.0
"Franklin County, AL","100,000 - $199,999",680.0,64259.0
"Franklin County, AL","$200,000 or more",130.0,18072.0
"Geneva County, AL",Under $1,230.0,1321.0
"Geneva County, AL","1 - $9,999",1670.0,6912.0
"Geneva County, AL","10,000 - $24,999",3010.0,37804.0
"Geneva County, AL","25,000 - $49,999",2540.0,71593.0
"Geneva County, AL","50,000 - $74,999",1250.0,59912.0
"Geneva County, AL","75,000 - $99,999",740.0,48321.0
"Geneva County, AL","100,000 - $199,999",670.0,62148.0
"Geneva County, AL","$200,000 or more",110.0,19174.0
"Greene County, AL",Under $1,60.0,0.0
"Greene County, AL","1 - $9,999",580.0,2972.0
"Greene County, AL","10,000 - $24,999",1450.0,21468.0
"Greene County, AL","25,000 - $49,999",850.0,25238.0
"Greene County, AL","50,000 - $74,999",250.0,10274.0
"Greene County, AL","75,000 - $99,999",140.0,8216.0
"Greene County, AL","100,000 - $199,999",120.0,10817.0
"Greene County, AL","$200,000 or more",30.0,0.0
"Hale County, AL",Under $1,80.0,713.0
"Hale County, AL","1 - $9,999",930.0,4583.0
"Hale County, AL","10,000 - $24,999",2150.0,31883.0
"Hale County, AL","25,000 - $49,999",1710.0,52920.0
"Hale County, AL","50,000 - $74,999",750.0,35224.0
"Hale County, AL","75,000 - $99,999",400.0,26983.0
"Hale County, AL","100,000 - $199,999",320.0,29156.0
"Hale County, AL","$200,000 or more",50.0,4918.0
"Henry County, AL",Under $1,130.0,759.0
"Henry County, AL","1 - $9,999",1050.0,4753.0
"Henry County, AL","10,000 - $24,999",1910.0,25200.0
"Henry County, AL","25,000 - $49,999",1790.0,50375.0
"Henry County, AL","50,000 - $74,999",920.0,41035.0
"Henry County, AL","75,000 - $99,999",550.0,35295.0
"Henry County, AL","100,000 - $199,999",600.0,58767.0
"Henry County, AL","$200,000 or more",100.0,21988.0
"Houston County, AL",Under $1,730.0,6325.0
"Houston County, AL","1 - $9,999",7070.0,30633.0
"Houston County, AL","10,000 - $24,999",12660.0,168784.0
"Houston County, AL","25,000 - $49,999",10550.0,304801.0
"Houston County, AL","50,000 - $74,999",5090.0,235988.0
"Houston County, AL","75,000 - $99,999",3430.0,221915.0
"Houston County, AL","100,000 - $199,999",3930.0,376811.0
"Houston County, AL","$200,000 or more",1190.0,297510.0
"Jackson County, AL",Under $1,280.0,1879.0
"Jackson County, AL","1 - $9,999",3210.0,13292.0
"Jackson County, AL","10,000 - $24,999",5800.0,78304.0
"Jackson County, AL","25,000 - $49,999",5560.0,160934.0
"Jackson County, AL","50,000 - $74,999",2880.0,138733.0
"Jackson County, AL","75,000 - $99,999",1580.0,104276.0
"Jackson County, AL","100,000 - $199,999",1570.0,152253.0
"Jackson County, AL","$200,000 or more",260.0,41721.0
"Jefferson County, AL",Under $1,3320.0,29817.0
"Jefferson County, AL","1 - $9,999",41110.0,183810.0
"Jefferson County, AL","10,000 - $24,999",78250.0,1094722.0
"Jefferson County, AL","25,000 - $49,999",72500.0,2189149.0
"Jefferson County, AL","50,000 - $74,999",35810.0,1705971.0
"Jefferson County, AL","75,000 - $99,999",21620.0,1417039.0
"Jefferson County, AL","100,000 - $199,999",30560.0,3092275.0
"Jefferson County, AL","$200,000 or more",12390.0,3156367.0
"Lamar County, AL",Under $1,90.0,0.0
"Lamar County, AL","1 - $9,999",810.0,3603.0
"Lamar County, AL","10,000 - $24,999",1380.0,17777.0
"Lamar County, AL","25,000 - $49,999",1400.0,43353.0
"Lamar County, AL","50,000 - $74,999",780.0,38952.0
"Lamar County, AL","75,000 - $99,999",470.0,32381.0
"Lamar County, AL","100,000 - $199,999",320.0,30138.0
"Lamar County, AL","$200,000 or more",40.0,3070.0
"Lauderdale County, AL",Under $1,430.0,1971.0
"Lauderdale County, AL","1 - $9,999",6310.0,25759.0
"Lauderdale County, AL","10,000 - $24,999",9740.0,120226.0
"Lauderdale County, AL","25,000 - $49,999",8540.0,229768.0
"Lauderdale County, AL","50,000 - $74,999",5280.0,235994.0
"Lauderdale County, AL","75,000 - $99,999",3250.0,197355.0
"Lauderdale County, AL","100,000 - $199,999",3680.0,345189.0
"Lauderdale County, AL","$200,000 or more",910.0,171596.0
"Lawrence County, AL",Under $1,170.0,754.0
"Lawrence County, AL","1 - $9,999",1920.0,7741.0
"Lawrence County, AL","10,000 - $24,999",3640.0,44595.0
"Lawrence County, AL","25,000 - $49,999",3380.0,97932.0
"Lawrence County, AL","50,000 - $74,999",1930.0,95775.0
"Lawrence County, AL","75,000 - $99,999",1200.0,83388.0
"Lawrence County, AL","100,000 - $199,999",1160.0,122585.0
"Lawrence County, AL","$200,000 or more",140.0,23849.0
"Lee County, AL",Under $1,700.0,6615.0
"Lee County, AL","1 - $9,999",9610.0,46418.0
"Lee County, AL","10,000 - $24,999",15740.0,225389.0
"Lee County, AL","25,000 - $49,999",14560.0,452743.0
"Lee County, AL","50,000 - $74,999",7760.0,379669.0
"Lee County, AL","75,000 - $99,999",5120.0,344297.0
"Lee County, AL","100,000 - $199,999",6590.0,635161.0
"Lee County, AL","$200,000 or more",1670.0,322491.0
"Limestone County, AL",Under $1,370.0,2592.0
"Limestone County, AL","1 - $9,999",5010.0,20528.0
"Limestone County, AL","10,000 - $24,999",8420.0,108065.0
"Limestone County, AL","25,000 - $49,999",8540.0,246564.0
"Limestone County, AL","50,000 - $74,999",5090.0,241034.0
"Limestone County, AL","75,000 - $99,999",3760.0,251474.0
"Limestone County, AL","100,000 - $199,999",5370.0,570762.0
"Limestone County, AL","$200,000 or more",1030.0,199710.0
"Lowndes County, AL",Under $1,80.0,861.0
"Lowndes County, AL","1 - $9,999",710.0,3537.0
"Lowndes County, AL","10,000 - $24,999",1780.0,27172.0
"Lowndes County, AL","25,000 - $49,999",1350.0,41823.0
"Lowndes County, AL","50,000 - $74,999",500.0,23485.0
"Lowndes County, AL","75,000 - $99,999",250.0,16011.0
"Lowndes County, AL","100,000 - $199,999",240.0,20534.0
"Lowndes County, AL","$200,000 or more",50.0,4640.0
"Macon County, AL",Under $1,130.0,933.0
"Macon County, AL","1 - $9,999",1380.0,6189.0
"Macon County, AL","10,000 - $24,999",2980.0,41377.0
"Macon County, AL","25,000 - $49,999",2250.0,66341.0
"Macon County, AL","50,000 - $74,999",740.0,33457.0
"Macon County, AL","75,000 - $99,999",340.0,20586.0
"Macon County, AL","100,000 - $199,999",310.0,24422.0
"Macon County, AL","$200,000 or more",50.0,10522.0
"Madison County, AL",Under $1,1740.0,12276.0
"Madison County, AL","1 - $9,999",23530.0,101679.0
"Madison County, AL","10,000 - $24,999",35640.0,485911.0
"Madison County, AL","25,000 - $49,999",32700.0,934706.0
"Madison County, AL","50,000 - $74,999",20310.0,925777.0
"Madison County, AL","75,000 - $99,999",15330.0,991239.0
"Madison County, AL","100,000 - $199,999",26810.0,2785333.0
"Madison County, AL","$200,000 or more",7200.0,1561228.0
"Marengo County, AL",Under $1,120.0,793.0
"Marengo County, AL","1 - $9,999",1160.0,5540.0
"Marengo County, AL","10,000 - $24,999",2580.0,35980.0
"Marengo County, AL","25,000 - $49,999",2060.0,60027.0
"Marengo County, AL","50,000 - $74,999",970.0,45167.0
"Marengo County, AL","75,000 - $99,999",630.0,41698.0
"Marengo County, AL","100,000 - $199,999",700.0,68543.0
"Marengo County, AL","$200,000 or more",130.0,17409.0
"Marion County, AL",Under $1,180.0,720.0
"Marion County, AL","1 - $9,999",1770.0,7175.0
"Marion County, AL","10,000 - $24,999",3100.0,40141.0
"Marion County, AL","25,000 - $49,999",2780.0,81749.0
"Marion County, AL","50,000 - $74,999",1380.0,67838.0
"Marion County, AL","75,000 - $99,999",800.0,53682.0
"Marion County, AL","100,000 - $199,999",630.0,58440.0
"Marion County, AL","$200,000 or more",120.0,18576.0
"Marshall County, AL",Under $1,540.0,3004.0
"Marshall County, AL","1 - $9,999",6340.0,26048.0
"Marshall County, AL","10,000 - $24,999",11770.0,163716.0
"Marshall County, AL","25,000 - $49,999",9670.0,278292.0
"Marshall County, AL","50,000 - $74,999",4640.0,213027.0
"Marshall County, AL","75,000 - $99,999",2800.0,179430.0
"Marshall County, AL","100,000 - $199,999",2860.0,266470.0
"Marshall County, AL","$200,000 or more",660.0,125226.0
"Mobile County, AL",Under $1,2110.0,13153.0
"Mobile County, AL","1 - $9,999",26380.0,115749.0
"Mobile County, AL","10,000 - $24,999",53930.0,712740.0
"Mobile County, AL","25,000 - $49,999",40940.0,1233030.0
"Mobile County, AL","50,000 - $74,999",21510.0,1047613.0
"Mobile County, AL","75,000 - $99,999",12960.0,877746.0
"Mobile County, AL","100,000 - $199,999",14490.0,1450358.0
"Mobile County, AL","$200,000 or more",3800.0,848426.0
"Monroe County, AL",Under $1,130.0,599.0
"Monroe County, AL","1 - $9,999",1270.0,5454.0
"Monroe County, AL","10,000 - $24,999",2520.0,32403.0
"Monroe County, AL","25,000 - $49,999",1960.0,56563.0
"Monroe County, AL","50,000 - $74,999",1050.0,49498.0
"Monroe County, AL","75,000 - $99,999",610.0,37832.0
"Monroe County, AL","100,000 - $199,999",680.0,62932.0
"Monroe County, AL","$200,000 or more",110.0,20563.0
"Montgomery County, AL",Under $1,1110.0,11339.0
"Montgomery County, AL","1 - $9,999",14240.0,68644.0
"Montgomery County, AL","10,000 - $24,999",30440.0,434219.0
"Montgomery County, AL","25,000 - $49,999",25170.0,767725.0
"Montgomery County, AL","50,000 - $74,999",11520.0,534034.0
"Montgomery County, AL","75,000 - $99,999",6860.0,418383.0
"Montgomery County, AL","100,000 - $199,999",8440.0,757241.0
"Montgomery County, AL","$200,000 or more",2840.0,574889.0
"Morgan County, AL",Under $1,550.0,3316.0
"Morgan County, AL","1 - $9,999",7810.0,32767.0
"Morgan County, AL","10,000 - $24,999",13880.0,182815.0
"Morgan County, AL","25,000 - $49,999",12540.0,355457.0
"Morgan County, AL","50,000 - $74,999",6860.0,319771.0
"Morgan County, AL","75,000 - $99,999",4370.0,282943.0
"Morgan County, AL","100,000 - $199,999",5570.0,559003.0
"Morgan County, AL","$200,000 or more",1070.0,188789.0
"Perry County, AL",Under $1,50.0,0.0
"Perry County, AL","1 - $9,999",580.0,3295.0
"Perry County, AL","10,000 - $24,999",1570.0,22594.0
"Perry County, AL","25,000 - $49,999",910.0,27806.0
"Perry County, AL","50,000 - $74,999",330.0,14377.0
"Perry County, AL","75,000 - $99,999",160.0,9423.0
"Perry County, AL","100,000 - $199,999",120.0,10621.0
"Perry County, AL","$200,000 or more",20.0,0.0
"Pickens County, AL",Under $1,100.0,598.0
"Pickens County, AL","1 - $9,999",1070.0,4748.0
"Pickens County, AL","10,000 - $24,999",2410.0,33582.0
"Pickens County, AL","25,000 - $49,999",1940.0,57320.0
"Pickens County, AL","50,000 - $74,999",900.0,43342.0
"Pickens County, AL","75,000 - $99,999",560.0,38098.0
"Pickens County, AL","100,000 - $199,999",480.0,43538.0
"Pickens County, AL","$200,000 or more",70.0,10656.0
"Pike County, AL",Under $1,190.0,1102.0
"Pike County, AL","1 - $9,999",2110.0,10271.0
"Pike County, AL","10,000 - $24,999",3970.0,57912.0
"Pike County, AL","25,000 - $49,999",2960.0,90107.0
"Pike County, AL","50,000 - $74,999",1410.0,65931.0
"Pike County, AL","75,000 - $99,999",860.0,57440.0
"Pike County, AL","100,000 - $199,999",920.0,85115.0
"Pike County, AL","$200,000 or more",200.0,33794.0
"Randolph County, AL",Under $1,130.0,544.0
"Randolph County, AL","1 - $9,999",1340.0,5649.0
"Randolph County, AL","10,000 - $24,999",2690.0,38904.0
"Randolph County, AL","25,000 - $49,999",2510.0,74062.0
"Randolph County, AL","50,000 - $74,999",1080.0,51472.0
"Randolph County, AL","75,000 - $99,999",580.0,36885.0
"Randolph County, AL","100,000 - $199,999",540.0,48134.0
"Randolph County, AL","$200,000 or more",100.0,15644.0
"Russell County, AL",Under $1,220.0,1237.0
"Russell County, AL","1 - $9,999",3460.0,16663.0
"Russell County, AL","10,000 - $24,999",7810.0,112131.0
"Russell County, AL","25,000 - $49,999",6820.0,217660.0
"Russell County, AL","50,000 - $74,999",2850.0,144522.0
"Russell County, AL","75,000 - $99,999",1430.0,97122.0
"Russell County, AL","100,000 - $199,999",1050.0,98526.0
"Russell County, AL","$200,000 or more",140.0,22775.0
"St. Clair County, AL",Under $1,450.0,3665.0
"St. Clair County, AL","1 - $9,999",4810.0,19715.0
"St. Clair County, AL","10,000 - $24,999",7620.0,98901.0
"St. Clair County, AL","25,000 - $49,999",8740.0,262911.0
"St. Clair County, AL","50,000 - $74,999",5480.0,275542.0
"St. Clair County, AL","75,000 - $99,999",3760.0,264248.0
"St. Clair County, AL","100,000 - $199,999",3840.0,394389.0
"St. Clair County, AL","$200,000 or more",530.0,99153.0
"Shelby County, AL",Under $1,1160.0,12101.0
"Shelby County, AL","1 - $9,999",12450.0,48475.0
"Shelby County, AL","10,000 - $24,999",15630.0,203240.0
"Shelby County, AL","25,000 - $49,999",18880.0,557791.0
"Shelby County, AL","50,000 - $74,999",13100.0,636130.0
"Shelby County, AL","75,000 - $99,999",9840.0,663560.0
"Shelby County, AL","100,000 - $199,999",16080.0,1708059.0
"Shelby County, AL","$200,000 or more",5430.0,1285683.0
"Sumter County, AL",Under $1,90.0,0.0
"Sumter County, AL","1 - $9,999",920.0,4830.0
"Sumter County, AL","10,000 - $24,999",1910.0,27739.0
"Sumter County, AL","25,000 - $49,999",1220.0,37344.0
"Sumter County, AL","50,000 - $74,999",450.0,20606.0
"Sumter County, AL","75,000 - $99,999",250.0,15469.0
"Sumter County, AL","100,000 - $199,999",210.0,17909.0
"Sumter County, AL","$200,000 or more",50.0,8207.0
"Talladega County, AL",Under $1,310.0,1219.0
"Talladega County, AL","1 - $9,999",5040.0,22108.0
"Talladega County, AL","10,000 - $24,999",9210.0,126381.0
"Talladega County, AL","25,000 - $49,999",8750.0,260940.0
"Talladega County, AL","50,000 - $74,999",4340.0,215564.0
"Talladega County, AL","75,000 - $99,999",2550.0,171717.0
"Talladega County, AL","100,000 - $199,999",2210.0,207672.0
"Talladega County, AL","$200,000 or more",330.0,74703.0
"Tallapoosa County, AL",Under $1,210.0,1021.0
