County,Adjusted Gross Income,Number of Returns,Total Salaries & Wages
"McIntosh County, ND",Under $1,60.0,283.0
"McIntosh County, ND","1 - $9,999",170.0,688.0
"McIntosh County, ND","10,000 - $24,999",270.0,2589.0
"McIntosh County, ND","25,000 - $49,999",360.0,8253.0
"McIntosh County, ND","50,000 - $74,999",220.0,7511.0
"McIntosh County, ND","75,000 - $99,999",120.0,5895.0
"McIntosh County, ND","100,000 - $199,999",120.0,7044.0
"McIntosh County, ND","$200,000 or more",40.0,3277.0
"McKenzie County, ND",Under $1,60.0,1116.0
"McKenzie County, ND","1 - $9,999",460.0,2444.0
"McKenzie County, ND","10,000 - $24,999",630.0,9130.0
"McKenzie County, ND","25,000 - $49,999",890.0,29308.0
"McKenzie County, ND","50,000 - $74,999",730.0,40503.0
"McKenzie County, ND","75,000 - $99,999",680.0,52921.0
"McKenzie County, ND","100,000 - $199,999",1100.0,119890.0
"McKenzie County, ND","$200,000 or more",610.0,62077.0
"McLean County, ND",Under $1,80.0,818.0
"McLean County, ND","1 - $9,999",530.0,2162.0
"McLean County, ND","10,000 - $24,999",770.0,8145.0
"McLean County, ND","25,000 - $49,999",1050.0,27021.0
"McLean County, ND","50,000 - $74,999",690.0,27866.0
"McLean County, ND","75,000 - $99,999",620.0,38819.0
"McLean County, ND","100,000 - $199,999",810.0,68658.0
"McLean County, ND","$200,000 or more",150.0,11064.0
"Mercer County, ND",Under $1,50.0,0.0
"Mercer County, ND","1 - $9,999",590.0,3125.0
"Mercer County, ND","10,000 - $24,999",570.0,6521.0
"Mercer County, ND","25,000 - $49,999",700.0,17885.0
"Mercer County, ND","50,000 - $74,999",600.0,27529.0
"Mercer County, ND","75,000 - $99,999",730.0,49149.0
"Mercer County, ND","100,000 - $199,999",1010.0,101447.0
"Mercer County, ND","$200,000 or more",130.0,13565.0
"Morton County, ND",Under $1,160.0,2017.0
"Morton County, ND","1 - $9,999",1740.0,8252.0
"Morton County, ND","10,000 - $24,999",2760.0,37022.0
"Morton County, ND","25,000 - $49,999",3780.0,113200.0
"Morton County, ND","50,000 - $74,999",2250.0,109764.0
"Morton County, ND","75,000 - $99,999",1880.0,128278.0
"Morton County, ND","100,000 - $199,999",2280.0,227607.0
"Morton County, ND","$200,000 or more",470.0,76625.0
"Mountrail County, ND",Under $1,50.0,762.0
"Mountrail County, ND","1 - $9,999",440.0,1948.0
"Mountrail County, ND","10,000 - $24,999",690.0,9485.0
"Mountrail County, ND","25,000 - $49,999",980.0,31270.0
"Mountrail County, ND","50,000 - $74,999",760.0,39379.0
"Mountrail County, ND","75,000 - $99,999",540.0,37532.0
"Mountrail County, ND","100,000 - $199,999",810.0,78303.0
"Mountrail County, ND","$200,000 or more",540.0,37478.0
"Nelson County, ND",Under $1,50.0,0.0
"Nelson County, ND","1 - $9,999",200.0,1205.0
"Nelson County, ND","10,000 - $24,999",320.0,3124.0
"Nelson County, ND","25,000 - $49,999",380.0,9761.0
"Nelson County, ND","50,000 - $74,999",250.0,9386.0
"Nelson County, ND","75,000 - $99,999",150.0,7255.0
"Nelson County, ND","100,000 - $199,999",170.0,10576.0
"Nelson County, ND","$200,000 or more",40.0,3637.0
"Oliver County, ND",Under $1,30.0,0.0
"Oliver County, ND","1 - $9,999",100.0,612.0
"Oliver County, ND","10,000 - $24,999",140.0,1508.0
"Oliver County, ND","25,000 - $49,999",160.0,3545.0
"Oliver County, ND","50,000 - $74,999",130.0,4969.0
"Oliver County, ND","75,000 - $99,999",140.0,8172.0
"Oliver County, ND","100,000 - $199,999",160.0,14842.0
"Oliver County, ND","$200,000 or more",30.0,3006.0
"Pembina County, ND",Under $1,70.0,749.0
"Pembina County, ND","1 - $9,999",480.0,2260.0
"Pembina County, ND","10,000 - $24,999",610.0,7131.0
"Pembina County, ND","25,000 - $49,999",840.0,23059.0
"Pembina County, ND","50,000 - $74,999",550.0,24344.0
"Pembina County, ND","75,000 - $99,999",460.0,26657.0
"Pembina County, ND","100,000 - $199,999",460.0,33893.0
"Pembina County, ND","$200,000 or more",120.0,9611.0
"Pierce County, ND",Under $1,40.0,0.0
"Pierce County, ND","1 - $9,999",320.0,1471.0
"Pierce County, ND","10,000 - $24,999",420.0,4111.0
"Pierce County, ND","25,000 - $49,999",500.0,12359.0
"Pierce County, ND","50,000 - $74,999",280.0,11823.0
"Pierce County, ND","75,000 - $99,999",210.0,11763.0
"Pierce County, ND","100,000 - $199,999",260.0,20313.0
"Pierce County, ND","$200,000 or more",60.0,5827.0
"Ramsey County, ND",Under $1,70.0,428.0
"Ramsey County, ND","1 - $9,999",880.0,4134.0
"Ramsey County, ND","10,000 - $24,999",1150.0,15194.0
"Ramsey County, ND","25,000 - $49,999",1480.0,41541.0
"Ramsey County, ND","50,000 - $74,999",790.0,34941.0
"Ramsey County, ND","75,000 - $99,999",600.0,37378.0
"Ramsey County, ND","100,000 - $199,999",650.0,52252.0
"Ramsey County, ND","$200,000 or more",190.0,22308.0
"Ransom County, ND",Under $1,40.0,0.0
"Ransom County, ND","1 - $9,999",370.0,2174.0
"Ransom County, ND","10,000 - $24,999",530.0,5220.0
"Ransom County, ND","25,000 - $49,999",690.0,18856.0
"Ransom County, ND","50,000 - $74,999",480.0,21726.0
"Ransom County, ND","75,000 - $99,999",330.0,19232.0
"Ransom County, ND","100,000 - $199,999",340.0,26617.0
"Ransom County, ND","$200,000 or more",70.0,7801.0
"Renville County, ND",Under $1,20.0,0.0
"Renville County, ND","1 - $9,999",140.0,660.0
"Renville County, ND","10,000 - $24,999",200.0,2191.0
"Renville County, ND","25,000 - $49,999",300.0,8654.0
"Renville County, ND","50,000 - $74,999",190.0,7398.0
"Renville County, ND","75,000 - $99,999",170.0,9798.0
"Renville County, ND","100,000 - $199,999",220.0,16860.0
"Renville County, ND","$200,000 or more",60.0,5048.0
"Richland County, ND",Under $1,80.0,735.0
"Richland County, ND","1 - $9,999",1060.0,4787.0
"Richland County, ND","10,000 - $24,999",1360.0,18150.0
"Richland County, ND","25,000 - $49,999",1840.0,52714.0
"Richland County, ND","50,000 - $74,999",1290.0,58340.0
"Richland County, ND","75,000 - $99,999",930.0,56308.0
"Richland County, ND","100,000 - $199,999",980.0,75780.0
"Richland County, ND","$200,000 or more",270.0,29840.0
"Rolette County, ND",Under $1,60.0,0.0
"Rolette County, ND","1 - $9,999",1050.0,4809.0
"Rolette County, ND","10,000 - $24,999",1300.0,18521.0
"Rolette County, ND","25,000 - $49,999",1540.0,46875.0
"Rolette County, ND","50,000 - $74,999",740.0,36248.0
"Rolette County, ND","75,000 - $99,999",390.0,27530.0
"Rolette County, ND","100,000 - $199,999",380.0,33174.0
"Rolette County, ND","$200,000 or more",60.0,5963.0
"Sargent County, ND",Under $1,40.0,636.0
"Sargent County, ND","1 - $9,999",250.0,1091.0
"Sargent County, ND","10,000 - $24,999",340.0,3836.0
"Sargent County, ND","25,000 - $49,999",490.0,14204.0
"Sargent County, ND","50,000 - $74,999",390.0,17062.0
"Sargent County, ND","75,000 - $99,999",260.0,15138.0
"Sargent County, ND","100,000 - $199,999",240.0,15802.0
"Sargent County, ND","$200,000 or more",60.0,4722.0
"Sheridan County, ND",Under $1,40.0,0.0
"Sheridan County, ND","1 - $9,999",80.0,401.0
"Sheridan County, ND","10,000 - $24,999",130.0,1175.0
"Sheridan County, ND","25,000 - $49,999",160.0,3366.0
"Sheridan County, ND","50,000 - $74,999",110.0,3586.0
"Sheridan County, ND","75,000 - $99,999",60.0,2567.0
"Sheridan County, ND","100,000 - $199,999",80.0,3464.0
"Sheridan County, ND","$200,000 or more",0.0,0.0
"Sioux County, ND",Under $1,0.0,0.0
"Sioux County, ND","1 - $9,999",330.0,1950.0
"Sioux County, ND","10,000 - $24,999",320.0,4885.0
"Sioux County, ND","25,000 - $49,999",370.0,11809.0
"Sioux County, ND","50,000 - $74,999",170.0,8544.0
"Sioux County, ND","75,000 - $99,999",70.0,4362.0
"Sioux County, ND","100,000 - $199,999",60.0,4937.0
"Sioux County, ND","$200,000 or more",0.0,0.0
"Slope County, ND",Under $1,0.0,0.0
"Slope County, ND","1 - $9,999",40.0,266.0
"Slope County, ND","10,000 - $24,999",40.0,443.0
"Slope County, ND","25,000 - $49,999",70.0,1383.0
"Slope County, ND","50,000 - $74,999",50.0,1518.0
"Slope County, ND","75,000 - $99,999",40.0,1641.0
"Slope County, ND","100,000 - $199,999",60.0,3508.0
"Slope County, ND","$200,000 or more",30.0,0.0
"Stark County, ND",Under $1,160.0,2051.0
"Stark County, ND","1 - $9,999",1660.0,7892.0
"Stark County, ND","10,000 - $24,999",2440.0,33609.0
"Stark County, ND","25,000 - $49,999",3440.0,109376.0
"Stark County, ND","50,000 - $74,999",2530.0,130467.0
"Stark County, ND","75,000 - $99,999",2120.0,155039.0
"Stark County, ND","100,000 - $199,999",3420.0,367302.0
"Stark County, ND","$200,000 or more",1050.0,170283.0
"Steele County, ND",Under $1,0.0,0.0
"Steele County, ND","1 - $9,999",120.0,550.0
"Steele County, ND","10,000 - $24,999",150.0,1725.0
"Steele County, ND","25,000 - $49,999",220.0,5384.0
"Steele County, ND","50,000 - $74,999",160.0,6026.0
"Steele County, ND","75,000 - $99,999",110.0,4777.0
"Steele County, ND","100,000 - $199,999",150.0,8648.0
"Steele County, ND","$200,000 or more",50.0,2789.0
"Stutsman County, ND",Under $1,140.0,1306.0
"Stutsman County, ND","1 - $9,999",1370.0,5718.0
"Stutsman County, ND","10,000 - $24,999",1870.0,24740.0
"Stutsman County, ND","25,000 - $49,999",2720.0,79855.0
"Stutsman County, ND","50,000 - $74,999",1570.0,71545.0
"Stutsman County, ND","75,000 - $99,999",1140.0,71102.0
"Stutsman County, ND","100,000 - $199,999",1180.0,102883.0
"Stutsman County, ND","$200,000 or more",310.0,36709.0
"Towner County, ND",Under $1,40.0,0.0
"Towner County, ND","1 - $9,999",150.0,1049.0
"Towner County, ND","10,000 - $24,999",220.0,2388.0
"Towner County, ND","25,000 - $49,999",260.0,6556.0
"Towner County, ND","50,000 - $74,999",190.0,7091.0
"Towner County, ND","75,000 - $99,999",110.0,5159.0
"Towner County, ND","100,000 - $199,999",140.0,7204.0
"Towner County, ND","$200,000 or more",30.0,971.0
"Traill County, ND",Under $1,40.0,0.0
"Traill County, ND","1 - $9,999",440.0,2081.0
"Traill County, ND","10,000 - $24,999",640.0,7644.0
"Traill County, ND","25,000 - $49,999",880.0,24558.0
"Traill County, ND","50,000 - $74,999",610.0,25564.0
"Traill County, ND","75,000 - $99,999",450.0,27402.0
"Traill County, ND","100,000 - $199,999",520.0,41973.0
"Traill County, ND","$200,000 or more",160.0,15996.0
"Walsh County, ND",Under $1,100.0,1429.0
"Walsh County, ND","1 - $9,999",800.0,3608.0
"Walsh County, ND","10,000 - $24,999",970.0,11793.0
"Walsh County, ND","25,000 - $49,999",1490.0,41426.0
"Walsh County, ND","50,000 - $74,999",790.0,33952.0
"Walsh County, ND","75,000 - $99,999",560.0,33933.0
"Walsh County, ND","100,000 - $199,999",600.0,42044.0
"Walsh County, ND","$200,000 or more",170.0,16829.0
"Ward County, ND",Under $1,330.0,4368.0
"Ward County, ND","1 - $9,999",3730.0,17976.0
"Ward County, ND","10,000 - $24,999",6810.0,104513.0
"Ward County, ND","25,000 - $49,999",9130.0,286714.0
"Ward County, ND","50,000 - $74,999",5280.0,263989.0
"Ward County, ND","75,000 - $99,999",3890.0,274707.0
"Ward County, ND","100,000 - $199,999",5320.0,545674.0
"Ward County, ND","$200,000 or more",1350.0,226719.0
"Wells County, ND",Under $1,40.0,376.0
"Wells County, ND","1 - $9,999",290.0,1107.0
"Wells County, ND","10,000 - $24,999",430.0,4498.0
"Wells County, ND","25,000 - $49,999",490.0,11878.0
"Wells County, ND","50,000 - $74,999",340.0,12614.0
"Wells County, ND","75,000 - $99,999",250.0,14237.0
"Wells County, ND","100,000 - $199,999",240.0,15823.0
"Wells County, ND","$200,000 or more",90.0,5299.0
"Williams County, ND",Under $1,140.0,2318.0
"Williams County, ND","1 - $9,999",1540.0,7449.0
"Williams County, ND","10,000 - $24,999",2580.0,38688.0
"Williams County, ND","25,000 - $49,999",3570.0,119799.0
"Williams County, ND","50,000 - $74,999",3020.0,167144.0
"Williams County, ND","75,000 - $99,999",2380.0,180519.0
"Williams County, ND","100,000 - $199,999",4120.0,455602.0
"Williams County, ND","$200,000 or more",1720.0,264564.0
"Adams County, OH",Under $1,140.0,633.0
"Adams County, OH","1 - $9,999",1800.0,7014.0
"Adams County, OH","10,000 - $24,999",2980.0,36167.0
"Adams County, OH","25,000 - $49,999",2960.0,81241.0
"Adams County, OH","50,000 - $74,999",1430.0,66214.0
"Adams County, OH","75,000 - $99,999",830.0,56126.0
"Adams County, OH","100,000 - $199,999",650.0,60000.0
"Adams County, OH","$200,000 or more",80.0,10671.0
"Allen County, OH",Under $1,430.0,1959.0
"Allen County, OH","1 - $9,999",8140.0,36096.0
"Allen County, OH","10,000 - $24,999",11520.0,148829.0
"Allen County, OH","25,000 - $49,999",12340.0,346162.0
"Allen County, OH","50,000 - $74,999",6650.0,298793.0
"Allen County, OH","75,000 - $99,999",4230.0,272888.0
"Allen County, OH","100,000 - $199,999",3780.0,346815.0
"Allen County, OH","$200,000 or more",860.0,191484.0
"Ashland County, OH",Under $1,280.0,1266.0
"Ashland County, OH","1 - $9,999",3740.0,14473.0
"Ashland County, OH","10,000 - $24,999",5600.0,71228.0
"Ashland County, OH","25,000 - $49,999",6960.0,198491.0
"Ashland County, OH","50,000 - $74,999",3760.0,171837.0
"Ashland County, OH","75,000 - $99,999",2170.0,136205.0
"Ashland County, OH","100,000 - $199,999",1730.0,150116.0
"Ashland County, OH","$200,000 or more",290.0,53449.0
"Ashtabula County, OH",Under $1,560.0,2057.0
"Ashtabula County, OH","1 - $9,999",7480.0,29818.0
"Ashtabula County, OH","10,000 - $24,999",11430.0,144451.0
"Ashtabula County, OH","25,000 - $49,999",12020.0,337426.0
"Ashtabula County, OH","50,000 - $74,999",6450.0,293596.0
"Ashtabula County, OH","75,000 - $99,999",3490.0,230155.0
"Ashtabula County, OH","100,000 - $199,999",2820.0,259610.0
"Ashtabula County, OH","$200,000 or more",360.0,62052.0
"Athens County, OH",Under $1,260.0,979.0
"Athens County, OH","1 - $9,999",3990.0,17926.0
"Athens County, OH","10,000 - $24,999",5460.0,71926.0
"Athens County, OH","25,000 - $49,999",5570.0,154179.0
"Athens County, OH","50,000 - $74,999",2960.0,135044.0
"Athens County, OH","75,000 - $99,999",1710.0,103625.0
"Athens County, OH","100,000 - $199,999",1720.0,143516.0
"Athens County, OH","$200,000 or more",430.0,70851.0
"Auglaize County, OH",Under $1,200.0,622.0
"Auglaize County, OH","1 - $9,999",3600.0,14651.0
"Auglaize County, OH","10,000 - $24,999",4450.0,56052.0
"Auglaize County, OH","25,000 - $49,999",6380.0,184569.0
"Auglaize County, OH","50,000 - $74,999",3800.0,180569.0
"Auglaize County, OH","75,000 - $99,999",2410.0,162715.0
"Auglaize County, OH","100,000 - $199,999",2270.0,211702.0
"Auglaize County, OH","$200,000 or more",370.0,65054.0
"Belmont County, OH",Under $1,240.0,891.0
"Belmont County, OH","1 - $9,999",4810.0,19225.0
"Belmont County, OH","10,000 - $24,999",7430.0,94743.0
"Belmont County, OH","25,000 - $49,999",7580.0,202245.0
"Belmont County, OH","50,000 - $74,999",4290.0,192691.0
"Belmont County, OH","75,000 - $99,999",3040.0,199633.0
"Belmont County, OH","100,000 - $199,999",3000.0,275632.0
"Belmont County, OH","$200,000 or more",820.0,139085.0
"Brown County, OH",Under $1,250.0,1141.0
"Brown County, OH","1 - $9,999",2860.0,11099.0
"Brown County, OH","10,000 - $24,999",4560.0,56150.0
"Brown County, OH","25,000 - $49,999",5390.0,154622.0
"Brown County, OH","50,000 - $74,999",2900.0,140034.0
"Brown County, OH","75,000 - $99,999",1650.0,109546.0
"Brown County, OH","100,000 - $199,999",1280.0,114451.0
"Brown County, OH","$200,000 or more",150.0,19155.0
"Butler County, OH",Under $1,1440.0,9490.0
"Butler County, OH","1 - $9,999",26070.0,108223.0
"Butler County, OH","10,000 - $24,999",36310.0,480033.0
"Butler County, OH","25,000 - $49,999",41040.0,1193935.0
"Butler County, OH","50,000 - $74,999",24210.0,1149923.0
"Butler County, OH","75,000 - $99,999",16630.0,1105630.0
"Butler County, OH","100,000 - $199,999",21980.0,2283653.0
"Butler County, OH","$200,000 or more",5290.0,1227036.0
"Carroll County, OH",Under $1,130.0,735.0
"Carroll County, OH","1 - $9,999",1850.0,7211.0
"Carroll County, OH","10,000 - $24,999",2730.0,33401.0
"Carroll County, OH","25,000 - $49,999",3450.0,93060.0
"Carroll County, OH","50,000 - $74,999",2040.0,93348.0
"Carroll County, OH","75,000 - $99,999",1300.0,82050.0
"Carroll County, OH","100,000 - $199,999",1120.0,85490.0
"Carroll County, OH","$200,000 or more",290.0,21963.0
"Champaign County, OH",Under $1,200.0,621.0
"Champaign County, OH","1 - $9,999",2670.0,10794.0
"Champaign County, OH","10,000 - $24,999",3990.0,49735.0
"Champaign County, OH","25,000 - $49,999",4910.0,143605.0
"Champaign County, OH","50,000 - $74,999",3110.0,149048.0
"Champaign County, OH","75,000 - $99,999",1860.0,123668.0
"Champaign County, OH","100,000 - $199,999",1540.0,143651.0
"Champaign County, OH","$200,000 or more",200.0,25833.0
"Clark County, OH",Under $1,550.0,1673.0
"Clark County, OH","1 - $9,999",10140.0,42071.0
"Clark County, OH","10,000 - $24,999",16060.0,205772.0
"Clark County, OH","25,000 - $49,999",16930.0,470640.0
"Clark County, OH","50,000 - $74,999",9090.0,412098.0
"Clark County, OH","75,000 - $99,999",5310.0,335099.0
"Clark County, OH","100,000 - $199,999",4900.0,443496.0
"Clark County, OH","$200,000 or more",790.0,132151.0
"Clermont County, OH",Under $1,840.0,6158.0
"Clermont County, OH","1 - $9,999",13710.0,56179.0
"Clermont County, OH","10,000 - $24,999",19550.0,254739.0
"Clermont County, OH","25,000 - $49,999",23090.0,675559.0
"Clermont County, OH","50,000 - $74,999",14150.0,671313.0
"Clermont County, OH","75,000 - $99,999",9820.0,655801.0
"Clermont County, OH","100,000 - $199,999",12440.0,1294723.0
"Clermont County, OH","$200,000 or more",3350.0,809644.0
"Clinton County, OH",Under $1,260.0,978.0
"Clinton County, OH","1 - $9,999",3090.0,12150.0
"Clinton County, OH","10,000 - $24,999",4330.0,53922.0
"Clinton County, OH","25,000 - $49,999",5130.0,145815.0
"Clinton County, OH","50,000 - $74,999",2870.0,131346.0
"Clinton County, OH","75,000 - $99,999",1660.0,107951.0
"Clinton County, OH","100,000 - $199,999",1540.0,138503.0
"Clinton County, OH","$200,000 or more",260.0,43722.0
"Columbiana County, OH",Under $1,530.0,2459.0
"Columbiana County, OH","1 - $9,999",7660.0,30964.0
"Columbiana County, OH","10,000 - $24,999",11540.0,149932.0
"Columbiana County, OH","25,000 - $49,999",13020.0,372456.0
"Columbiana County, OH","50,000 - $74,999",7030.0,330607.0
"Columbiana County, OH","75,000 - $99,999",4030.0,272149.0
"Columbiana County, OH","100,000 - $199,999",3360.0,314030.0
"Columbiana County, OH","$200,000 or more",580.0,84760.0
"Coshocton County, OH",Under $1,210.0,764.0
"Coshocton County, OH","1 - $9,999",2590.0,10416.0
"Coshocton County, OH","10,000 - $24,999",4110.0,51876.0
"Coshocton County, OH","25,000 - $49,999",4420.0,124656.0
"Coshocton County, OH","50,000 - $74,999",2370.0,106755.0
"Coshocton County, OH","75,000 - $99,999",1310.0,83450.0
"Coshocton County, OH","100,000 - $199,999",950.0,81528.0
"Coshocton County, OH","$200,000 or more",160.0,24076.0
"Crawford County, OH",Under $1,190.0,1072.0
"Crawford County, OH","1 - $9,999",3330.0,13326.0
"Crawford County, OH","10,000 - $24,999",5220.0,66855.0
"Crawford County, OH","25,000 - $49,999",6150.0,173178.0
"Crawford County, OH","50,000 - $74,999",2900.0,130427.0
"Crawford County, OH","75,000 - $99,999",1480.0,91831.0
"Crawford County, OH","100,000 - $199,999",1160.0,90729.0
"Crawford County, OH","$200,000 or more",140.0,20588.0
"Cuyahoga County, OH",Under $1,7510.0,50294.0
"Cuyahoga County, OH","1 - $9,999",100650.0,404850.0
"Cuyahoga County, OH","10,000 - $24,999",148770.0,1907225.0
"Cuyahoga County, OH","25,000 - $49,999",158530.0,4615546.0
"Cuyahoga County, OH","50,000 - $74,999",84570.0,3942747.0
"Cuyahoga County, OH","75,000 - $99,999",48340.0,3102490.0
"Cuyahoga County, OH","100,000 - $199,999",57100.0,5549759.0
"Cuyahoga County, OH","$200,000 or more",21650.0,5917784.0
"Darke County, OH",Under $1,370.0,1303.0
"Darke County, OH","1 - $9,999",4080.0,15129.0
"Darke County, OH","10,000 - $24,999",5410.0,66169.0
"Darke County, OH","25,000 - $49,999",7520.0,217725.0
"Darke County, OH","50,000 - $74,999",3770.0,176598.0
"Darke County, OH","75,000 - $99,999",2010.0,126541.0
"Darke County, OH","100,000 - $199,999",1750.0,148617.0
"Darke County, OH","$200,000 or more",330.0,49882.0
"Defiance County, OH",Under $1,180.0,1117.0
"Defiance County, OH","1 - $9,999",2810.0,11706.0
"Defiance County, OH","10,000 - $24,999",4180.0,51308.0
"Defiance County, OH","25,000 - $49,999",5260.0,142983.0
"Defiance County, OH","50,000 - $74,999",2900.0,131026.0
"Defiance County, OH","75,000 - $99,999",1850.0,119508.0
"Defiance County, OH","100,000 - $199,999",1540.0,142444.0
"Defiance County, OH","$200,000 or more",240.0,39984.0
"Delaware County, OH",Under $1,900.0,10645.0
"Delaware County, OH","1 - $9,999",12230.0,46949.0
"Delaware County, OH","10,000 - $24,999",11310.0,141188.0
"Delaware County, OH","25,000 - $49,999",14280.0,399474.0
"Delaware County, OH","50,000 - $74,999",11680.0,541368.0
"Delaware County, OH","75,000 - $99,999",10390.0,687351.0
"Delaware County, OH","100,000 - $199,999",20200.0,2239305.0
"Delaware County, OH","$200,000 or more",8950.0,2462396.0
"Erie County, OH",Under $1,430.0,1855.0
"Erie County, OH","1 - $9,999",6890.0,29775.0
"Erie County, OH","10,000 - $24,999",9400.0,115923.0
"Erie County, OH","25,000 - $49,999",9870.0,261227.0
"Erie County, OH","50,000 - $74,999",5570.0,236697.0
"Erie County, OH","75,000 - $99,999",3430.0,210151.0
"Erie County, OH","100,000 - $199,999",3420.0,305855.0
"Erie County, OH","$200,000 or more",760.0,155051.0
"Fairfield County, OH",Under $1,670.0,3718.0
"Fairfield County, OH","1 - $9,999",10640.0,43660.0
"Fairfield County, OH","10,000 - $24,999",13290.0,168723.0
"Fairfield County, OH","25,000 - $49,999",16160.0,459238.0
"Fairfield County, OH","50,000 - $74,999",10830.0,505175.0
"Fairfield County, OH","75,000 - $99,999",7480.0,497783.0
"Fairfield County, OH","100,000 - $199,999",9040.0,925710.0
"Fairfield County, OH","$200,000 or more",1760.0,370270.0
"Fayette County, OH",Under $1,150.0,540.0
"Fayette County, OH","1 - $9,999",2450.0,10107.0
"Fayette County, OH","10,000 - $24,999",3280.0,43032.0
"Fayette County, OH","25,000 - $49,999",3860.0,113350.0
"Fayette County, OH","50,000 - $74,999",1790.0,80608.0
"Fayette County, OH","75,000 - $99,999",900.0,57927.0
"Fayette County, OH","100,000 - $199,999",770.0,66907.0
"Fayette County, OH","$200,000 or more",180.0,21012.0
"Franklin County, OH",Under $1,5580.0,43180.0
"Franklin County, OH","1 - $9,999",87660.0,381661.0
"Franklin County, OH","10,000 - $24,999",140500.0,1947736.0
"Franklin County, OH","25,000 - $49,999",160360.0,4945671.0
"Franklin County, OH","50,000 - $74,999",85080.0,4200686.0
"Franklin County, OH","75,000 - $99,999",51350.0,3506516.0
"Franklin County, OH","100,000 - $199,999",62500.0,6459898.0
"Franklin County, OH","$200,000 or more",19890.0,5002946.0
"Fulton County, OH",Under $1,210.0,1011.0
"Fulton County, OH","1 - $9,999",3170.0,12972.0
"Fulton County, OH","10,000 - $24,999",4350.0,55036.0
"Fulton County, OH","25,000 - $49,999",5630.0,159728.0
"Fulton County, OH","50,000 - $74,999",3440.0,157402.0
"Fulton County, OH","75,000 - $99,999",2110.0,139174.0
"Fulton County, OH","100,000 - $199,999",1870.0,168814.0
"Fulton County, OH","$200,000 or more",360.0,52367.0
"Gallia County, OH",Under $1,160.0,622.0
"Gallia County, OH","1 - $9,999",1920.0,7589.0
"Gallia County, OH","10,000 - $24,999",3100.0,36508.0
"Gallia County, OH","25,000 - $49,999",3070.0,80540.0
"Gallia County, OH","50,000 - $74,999",1710.0,75618.0
"Gallia County, OH","75,000 - $99,999",1000.0,67504.0
"Gallia County, OH","100,000 - $199,999",920.0,87726.0
"Gallia County, OH","$200,000 or more",170.0,34438.0
"Geauga County, OH",Under $1,670.0,5525.0
"Geauga County, OH","1 - $9,999",7340.0,26524.0
"Geauga County, OH","10,000 - $24,999",7430.0,83314.0
"Geauga County, OH","25,000 - $49,999",9620.0,240756.0
"Geauga County, OH","50,000 - $74,999",6940.0,289375.0
"Geauga County, OH","75,000 - $99,999",4840.0,290428.0
"Geauga County, OH","100,000 - $199,999",7310.0,698697.0
"Geauga County, OH","$200,000 or more",3310.0,919142.0
"Greene County, OH",Under $1,810.0,3980.0
"Greene County, OH","1 - $9,999",10930.0,45964.0
"Greene County, OH","10,000 - $24,999",14550.0,183958.0
"Greene County, OH","25,000 - $49,999",16040.0,434766.0
"Greene County, OH","50,000 - $74,999",11430.0,507441.0
"Greene County, OH","75,000 - $99,999",7970.0,493598.0
"Greene County, OH","100,000 - $199,999",11260.0,1072882.0
"Greene County, OH","$200,000 or more",2680.0,550383.0
"Guernsey County, OH",Under $1,200.0,522.0
"Guernsey County, OH","1 - $9,999",3040.0,12572.0
"Guernsey County, OH","10,000 - $24,999",4680.0,58771.0
"Guernsey County, OH","25,000 - $49,999",4880.0,135991.0
"Guernsey County, OH","50,000 - $74,999",2550.0,117601.0
"Guernsey County, OH","75,000 - $99,999",1420.0,92746.0
"Guernsey County, OH","100,000 - $199,999",1180.0,102387.0
"Guernsey County, OH","$200,000 or more",310.0,43362.0
"Hamilton County, OH",Under $1,4180.0,28042.0
"Hamilton County, OH","1 - $9,999",62090.0,259053.0
"Hamilton County, OH","10,000 - $24,999",89780.0,1208135.0
"Hamilton County, OH","25,000 - $49,999",98300.0,2919326.0
"Hamilton County, OH","50,000 - $74,999",53210.0,2479474.0
"Hamilton County, OH","75,000 - $99,999",32530.0,2070563.0
"Hamilton County, OH","100,000 - $199,999",42400.0,4090344.0
"Hamilton County, OH","$200,000 or more",18760.0,5207167.0
"Hancock County, OH",Under $1,350.0,1941.0
"Hancock County, OH","1 - $9,999",5650.0,23653.0
"Hancock County, OH","10,000 - $24,999",7780.0,102712.0
"Hancock County, OH","25,000 - $49,999",9630.0,281298.0
"Hancock County, OH","50,000 - $74,999",5390.0,246941.0
"Hancock County, OH","75,000 - $99,999",3560.0,227336.0
"Hancock County, OH","100,000 - $199,999",3780.0,360145.0
"Hancock County, OH","$200,000 or more",1080.0,297601.0
"Hardin County, OH",Under $1,130.0,494.0
"Hardin County, OH","1 - $9,999",2150.0,8387.0
"Hardin County, OH","10,000 - $24,999",3010.0,36510.0
"Hardin County, OH","25,000 - $49,999",3740.0,109025.0
"Hardin County, OH","50,000 - $74,999",2020.0,96631.0
"Hardin County, OH","75,000 - $99,999",1150.0,75725.0
"Hardin County, OH","100,000 - $199,999",910.0,77894.0
"Hardin County, OH","$200,000 or more",120.0,15243.0
"Harrison County, OH",Under $1,60.0,0.0
"Harrison County, OH","1 - $9,999",1040.0,4154.0
"Harrison County, OH","10,000 - $24,999",1460.0,17783.0
"Harrison County, OH","25,000 - $49,999",1760.0,48388.0
"Harrison County, OH","50,000 - $74,999",1020.0,46700.0
