County,Number of Mcdonalds
"Perry County, IL",16
"Perry County, OH",23
"Perry County, PA",33
"Petroleum County, MT",1
"Piatt County, IL",23
"Pike County, KY",9
"Pike County, MS",3
"Pike County, OH",15
"Pinellas County, FL",49
"Piscataquis County, ME",3
"Plymouth County, MA",50
"Polk County, TN",17
"Pondera County, MT",1
"Powhatan County, VA",46
"Prairie County, AR",10
"Pratt County, KS",1
"Pueblo County, CO",31
"Pulaski County, AR",39
"Pulaski County, GA",3
"Pulaski County, MO",6
"Putnam County, FL",25
"Ramsey County, ND",1
"Randolph County, WV",30
"Ransom County, ND",1
"Reagan County, TX",1
"Redwood County, MN",2
"Reeves County, TX",3
"Renville County, MN",11
"Reynolds County, MO",2
"Richland County, MT",2
"Riley County, KS",5
"Rio Arriba County, NM",6
"Ripley County, IN",13
"Ritchie County, WV",9
"Riverside County, CA",32
"Roane County, WV",7
"Robertson County, TN",50
"Robeson County, NC",24
"Rock County, WI",36
"Rock Island County, IL",46
"Rockwall County, TX",33
"Rogers County, OK",42
"Roosevelt County, NM",5
"Rowan County, NC",49
"Runnels County, TX",1
"Sabine Parish, LA",5
"San Juan County, WA",6
"Santa Fe County, NM",48
"Saratoga County, NY",46
"Schleicher County, TX",4
"Schley County, GA",2
"Schuylkill County, PA",50
"Scott County, MN",50
"Screven County, GA",5
"Seminole County, GA",2
"Sevier County, TN",41
"Seward County, NE",15
"Sharkey County, MS",1
"Shelby County, MO",2
"Skagit County, WA",40
"Smith County, TN",16
"Southampton County, VA",8
"Spalding County, GA",49
"St. Charles Parish, LA",49
"St. Clair County, AL",41
"St. Clair County, MO",2
"St. Johns County, FL",50
"St. Joseph County, IN",40
"St. Tammany Parish, LA",39
"Stanley County, SD",1
"Steele County, MN",9
"Sterling County, TX",1
"Stone County, MO",23
"Suffolk County, MA",50
"Sullivan County, PA",10
"Susquehanna County, PA",24
"Sussex County, VA",14
"Swisher County, TX",2
"Talbot County, GA",14
"Taylor County, FL",2
"Tazewell County, VA",12
"Terrell County, GA",2
"Teton County, WY",2
"Tillman County, OK",10
"Todd County, KY",17
"Tooele County, UT",16
"Toombs County, GA",7
"Towns County, GA",3
"Trinity County, CA",12
"Trousdale County, TN",1
"Turner County, SD",6
"Tyler County, WV",6
"Tyrrell County, NC",2
"Union County, GA",14
"Union County, IL",14
"Utah County, UT",50
"Valley County, NE",1
"Van Buren County, IA",2
"Van Buren County, TN",1
"Venango County, PA",8
"Vernon County, WI",26
"Victoria County, TX",7
"Vilas County, WI",7
"Wabasha County, MN",10
"Walker County, AL",20
"Walsh County, ND",3
"Walton County, GA",50
"Walworth County, SD",1
"Ward County, TX",9
"Warren County, IL",8
"Warren County, IN",17
"Warren County, MS",5
"Warren County, NY",8
"Waseca County, MN",11
"Washington County, GA",6
"Washington County, MS",5
"Washington County, NC",3
"Washington County, NE",32
"Washington County, NY",47
"Washington County, TX",17
"Washington Parish, LA",16
"Washoe County, NV",1
"Wayne County, NC",30
"Wayne County, NE",3
"Wayne County, OH",50
"Webster Parish, LA",19
"Wharton County, TX",12
"Wheatland County, MT",1
"White County, IL",11
"White Pine County, NV",1
"Wichita County, KS",1
"Wilcox County, GA",7
"Wilkes County, GA",4
"Wilkinson County, MS",5
"Williams County, ND",2
"Windham County, VT",8
"Winnebago County, IL",40
"Wise County, VA",10
"Woodford County, KY",40
"Woods County, OK",7
"Worth County, MO",2
"Wright County, MN",33
"Wright County, MO",5
"Wyandotte County, KS",50
"Wythe County, VA",15
"Yuba County, CA",50
"Zapata County, TX",16
